,,,,,,,,,,,,,,,
"ÍNDICE DE NIVEL DE ACTIVIDAD REGISTRADA HASTA 
GRUPOS DE LA CLASIFICACIÓN CIIU-3",,,,,,,,,,,,,,,
Contenido ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nivel,COD. CIIU3,DESCRIPCIÓN CIIU3,FEB.20,MAR.20,ABR.20,MAY.20,JUN.20,JUL.20,AGO.20,SEP.20,OCT.20,NOV.20,DIC.20,ENE.21*,FEB.21*
0,0,ÍNDICE GENERAL,98.91,79.38,66.77,70.59,87.59,95.22,97.12,101.68,104.77,104.65,101.52,97.23,111.08
1,A,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA.",104.20,75.92,91.52,90.53,102.45,102.95,102.62,104.94,104.57,102.28,103.49,100.71,113.28
2,A01,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIO CONEXAS.",104.16,75.95,91.52,90.63,102.50,103.06,102.73,105.03,104.68,102.32,103.41,100.63,113.19
3,A011,CULTIVOS EN GENERAL; CULTIVOS DE PRODUCTOS DE MERCADO; HORTICULTURA.,105.29,94.50,93.84,95.00,103.36,105.01,105.56,109.61,105.45,104.36,107.28,102.70,111.58
3,A012,CRÍA DE ANIMALES DOMÉSTICOS.,99.12,46.87,86.44,79.84,98.19,101.87,98.47,101.07,104.08,98.09,98.85,92.35,110.16
3,A014,"ACTIVIDADES AGRÍCOLAS Y GANADERAS DE TIPO SERVICIO, EXCEPTO LAS ACTIVIDADES VETERINARIAS.",108.28,84.17,100.29,106.52,117.15,101.59,107.67,102.78,103.26,107.16,106.32,111.26,123.89
2,A02,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE TIPO SERVICIO CONEXAS.",83.63,59.77,79.79,60.35,94.21,82.76,84.61,94.02,91.21,107.66,124.09,94.32,110.06
3,A020,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE TIPO SERVICIO CONEXAS.",83.63,59.77,79.79,60.35,94.21,82.76,84.61,94.02,91.21,107.66,124.09,94.32,110.06
1,B,PESCA.,98.13,86.86,102.06,95.88,98.51,93.45,88.27,97.62,116.18,105.87,95.48,76.33,113.54
2,B05,"PESCA, EXPLOTACIÓN DE CRIADEROS DE PECES Y GRANJAS PISCÍCOLAS; ACTIVIDADES DE TIPO SERVICIO RELACIONADAS CON LA PESCA.",98.13,86.86,102.06,95.88,98.51,93.45,88.27,97.62,116.18,105.87,95.48,76.33,113.54
3,B050,"PESCA, EXPLOTACIÓN DE CRIADEROS DE PECES Y GRANJAS PISCÍCOLAS; ACTIVIDADES DE TIPO SERVICIO RELACIONADAS CON LA PESCA.",98.13,86.86,102.06,95.88,98.51,93.45,88.27,97.62,116.18,105.87,95.48,76.33,113.54
1,C,EXPLOTACIÓN DE MINAS Y CANTERAS.,122.66,105.30,78.99,51.36,66.10,81.97,100.60,114.57,107.45,121.13,58.85,84.78,138.44
2,C11,"EXTRACCIÓN DE PETRÓLEO CRUDO Y DE GAS NATURAL; ACTIVIDADES DE TIPO SERVICIO RELACIONADAS CON LA EXTRACCIÓN DE PETRÓLEO Y DE GAS,",118.76,91.97,81.74,51.39,65.90,76.54,79.80,86.27,88.29,92.99,49.23,61.09,141.00
3,C111,EXTRACCIÓN DE PETRÓLEO CRUDO Y DE GAS NATURAL.,128.45,100.28,89.60,52.63,68.94,83.11,86.38,91.17,91.52,96.97,47.62,55.23,144.18
3,C112,"ACTIVIDADES DE TIPO SERVICIO RELACIONADAS CON LA EXTRACCIÓN DE PETRÓLEO Y DE GAS, EXCEPTO LAS ACTIVIDADES DE PROSPECCIÓN.",71.39,50.50,42.49,45.05,50.12,39.56,38.69,55.55,67.82,67.53,57.63,106.55,108.62
2,C13,EXTRACCIÓN DE MINERALES METALÍFEROS.,147.73,195.46,58.77,48.37,81.37,140.78,250.13,266.36,177.94,204.90,94.12,139.43,103.92
3,C132,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO MINERALES DE URANIO Y DE TORIO.",147.73,195.46,58.77,48.37,81.37,140.78,250.13,266.36,177.94,204.90,94.12,139.43,103.92
2,C14,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.,96.30,75.50,38.67,60.69,100.48,145.29,119.61,98.22,110.27,122.31,136.27,95.74,114.70
3,C141,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA.",96.30,75.50,38.67,60.69,100.48,145.29,119.61,98.22,110.27,122.31,136.27,95.74,114.70
1,D,INDUSTRIAS MANUFACTURERAS.,101.72,81.30,69.11,81.30,94.40,100.08,97.28,104.90,106.68,104.79,106.08,103.31,112.23
2,D15,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS Y DE BEBIDAS.,101.36,88.61,85.36,90.63,94.52,98.54,93.80,100.24,100.85,99.60,101.83,95.52,104.13
3,D151,"PRODUCCIÓN, ELABORACIÓN Y CONSERVACIÓN DE CARNE, PESCADO, FRUTAS, LEGUMBRES, HORTALIZAS, ACEITES Y GRASAS.",101.66,89.71,89.76,95.83,96.41,101.74,94.51,100.18,98.77,100.30,101.52,93.58,101.48
3,D152,ELABORACIÓN DE PRODUCTOS LÁCTEOS.,109.20,90.87,77.61,80.09,89.92,89.05,89.61,96.40,105.35,94.03,93.92,97.13,117.03
3,D153,"ELABORACIÓN DE PRODUCTOS DE MOLINERÍA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN Y PIENSOS PREPARADOS.",127.76,126.06,106.62,100.71,104.44,106.43,100.06,105.72,109.68,105.55,112.78,103.84,129.22
3,D154,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS.,89.89,80.51,89.97,88.73,86.88,95.01,92.02,94.98,93.70,96.60,103.99,87.31,89.55
3,D155,ELABORACIÓN DE BEBIDAS.,100.01,77.28,64.65,81.40,97.37,96.45,93.92,107.46,107.58,101.48,97.42,100.33,109.62
2,D16,ELABORACIÓN DE PRODUCTOS DE TABACO.,108.06,79.79,52.93,81.18,88.06,89.91,81.91,93.16,99.59,92.52,90.01,127.71,109.55
3,D160,ELABORACIÓN DE PRODUCTOS DE TABACO.,108.06,79.79,52.93,81.18,88.06,89.91,81.91,93.16,99.59,92.52,90.01,127.71,109.55
